division_id,aboriginal_torres_strait_percent,born_overseas_percent,recent_migrants_percent,different_language_percent
179,1.2,35.0,17.599999999999998,34.599999999999994
197,0.5,30.2,8.799999999999999,25.2
198,1.3,10.5,3.0,5.3
103,0.8,38.9,12.8,45.2
180,2.5,10.9,3.2,5.7
104,0.7000000000000001,49.2,19.2,59.099999999999994
192,3.4000000000000004,12.3,4.1000000000000005,5.7
200,1.5,9.0,2.7,4.5
105,0.4,47.599999999999994,19.3,49.2
106,0.5,32.4,8.0,26.0
304,4.3999999999999995,15.0,5.3,6.9
107,0.6,49.5,18.099999999999998,68.4
310,1.7999999999999998,27.6,11.200000000000001,18.3
182,0.8999999999999999,24.3,9.8,16.6
155,2.3,22.6,6.7,6.6000000000000005
193,7.3,8.6,1.6,2.4
108,0.2,42.699999999999996,15.7,33.900000000000006
235,2.4,32.300000000000004,14.499999999999998,10.4
156,1.0,28.299999999999997,15.299999999999999,18.2
201,0.4,53.2,20.9,57.49999999999999
317,2.4,40.300000000000004,19.0,27.1
109,6.3,8.3,2.1,3.8
203,0.7000000000000001,40.300000000000004,16.400000000000002,53.1
101,1.2,28.299999999999997,12.4,21.7
236,2.0,25.7,8.7,6.800000000000001
157,5.3,9.5,4.1000000000000005,4.7
204,0.8999999999999999,16.3,3.2,7.199999999999999
111,4.0,41.099999999999994,14.299999999999999,42.5
205,0.2,44.0,19.8,43.3
112,1.0,22.1,4.8,21.3
207,0.8,12.7,3.3000000000000003,5.3
208,1.0999999999999999,17.8,5.6000000000000005,13.200000000000001
237,1.6,38.0,14.000000000000002,26.8
113,6.1,11.600000000000001,2.7,4.3999999999999995
114,2.1999999999999997,22.400000000000002,6.800000000000001,17.9
238,0.6,33.2,14.2,16.7
158,5.5,13.5,5.7,6.6000000000000005
209,0.4,27.200000000000003,10.2,22.3
252,2.0,18.8,6.1,7.199999999999999
115,4.3,13.100000000000001,2.5,5.3
210,0.8999999999999999,21.7,5.5,10.9
312,16.7,16.3,7.6,11.4
117,3.2,13.5,3.1,6.9
159,1.7000000000000002,29.9,11.1,11.5
160,2.0,19.8,6.4,5.3
118,4.2,9.9,3.5999999999999996,7.199999999999999
102,1.7999999999999998,29.099999999999998,12.8,27.200000000000003
161,1.9,19.3,6.0,4.8
211,0.8999999999999999,17.1,3.0,5.2
311,5.3,11.3,4.8,4.8
162,2.8000000000000003,25.900000000000002,9.0,10.9
239,2.1999999999999997,19.400000000000002,6.7,6.6000000000000005
119,0.8,53.0,15.0,68.60000000000001
195,4.6,12.7,2.6,4.6
240,1.5,32.5,12.7,19.1
212,0.5,34.699999999999996,14.299999999999999,32.9
120,5.0,13.100000000000001,1.7000000000000002,4.0
213,2.0,11.3,2.3,4.9
214,0.2,29.4,10.2,19.900000000000002
309,0.8999999999999999,33.6,11.899999999999999,37.2
121,1.0999999999999999,33.1,11.3,26.1
122,1.5,40.9,15.4,41.0
183,6.4,9.9,1.9,4.8
163,1.2,27.400000000000002,13.5,18.3
164,4.0,11.899999999999999,5.4,6.800000000000001
305,2.8000000000000003,30.8,11.3,15.7
165,8.5,13.600000000000001,5.5,7.199999999999999
215,0.2,32.7,15.2,26.5
185,1.7000000000000002,25.3,8.4,22.900000000000002
166,4.1000000000000005,14.099999999999998,3.2,4.3
216,0.6,37.9,16.900000000000002,35.4
217,0.2,49.3,21.099999999999998,51.800000000000004
124,1.2,20.1,4.3999999999999995,16.400000000000002
125,3.1,12.3,2.1,6.3
126,5.8999999999999995,9.0,2.0,3.5000000000000004
218,1.6,9.700000000000001,2.0,4.5
219,0.4,30.8,10.0,26.1
220,0.6,22.3,6.9,20.0
167,13.700000000000001,12.1,3.5999999999999996,7.3
127,1.7000000000000002,42.5,18.9,36.4
186,1.5,22.6,6.2,8.0
221,0.2,31.8,12.7,28.199999999999996
223,0.6,25.7,9.3,18.7
222,0.8999999999999999,40.5,21.9,40.300000000000004
168,16.8,20.7,7.6,18.6
169,2.1999999999999997,23.400000000000002,10.299999999999999,14.899999999999999
128,4.2,21.099999999999998,5.5,15.9
306,40.2,12.4,5.6000000000000005,35.699999999999996
302,3.6999999999999997,16.900000000000002,4.9,5.3
130,5.5,8.7,1.0999999999999999,2.3
196,4.8,8.4,1.0999999999999999,2.1
131,3.5999999999999996,27.800000000000004,7.3999999999999995,26.400000000000002
132,0.6,26.6,7.5,14.299999999999999
133,3.0,14.799999999999999,2.0,6.0
187,1.4000000000000001,28.000000000000004,9.0,20.1
224,2.6,8.799999999999999,3.0,6.4
170,6.0,8.200000000000001,2.6,3.4000000000000004
225,0.4,31.6,11.200000000000001,33.900000000000006
188,1.0,16.900000000000002,3.1,4.0
226,1.0,14.799999999999999,4.3,9.6
315,1.2,43.2,13.700000000000001,52.900000000000006
171,1.7000000000000002,24.7,8.1,10.2
228,0.4,45.6,29.4,39.0
229,0.2,34.8,10.2,35.199999999999996
134,0.5,35.9,10.5,33.300000000000004
172,1.5,31.1,12.2,16.900000000000002
242,0.6,38.6,13.600000000000001,10.9
173,1.2,39.7,19.400000000000002,36.1
135,8.4,7.7,2.9000000000000004,4.0
136,3.4000000000000004,14.000000000000002,5.6000000000000005,10.0
137,0.3,38.7,15.299999999999999,28.599999999999998
243,5.8999999999999995,17.599999999999998,6.1,7.3
174,3.0,34.599999999999994,13.5,27.800000000000004
138,5.5,9.0,1.9,3.6999999999999997
139,15.9,5.5,2.1999999999999997,3.3000000000000003
140,0.7000000000000001,53.5,26.900000000000002,59.599999999999994
249,5.5,9.1,2.1999999999999997,3.5999999999999996
