division_id,electoral_division,aboriginal_tsi,born_overseas,recent_migrants,language_home_no_english,state
187.0,Makin,0.014,0.28,0.09,0.201,SA
224.0,Mallee,0.026,0.088,0.03,0.064,VIC
170.0,Maranoa,0.06,0.082,0.026,0.034,QLD
225.0,Maribyrnong,0.004,0.316,0.112,0.339,VIC
188.0,Mayo,0.01,0.169,0.031,0.04,SA
226.0,McEwen,0.01,0.148,0.043,0.096,VIC
315.0,McMahon,0.012,0.432,0.137,0.529,NSW
171.0,McPherson,0.017,0.247,0.081,0.102,QLD
228.0,Melbourne,0.004,0.456,0.294,0.39,VIC
229.0,Menzies,0.002,0.348,0.102,0.352,VIC
134.0,Mitchell,0.005,0.359,0.105,0.333,NSW
172.0,Moncrieff,0.015,0.311,0.122,0.169,QLD
242.0,Moore,0.006,0.386,0.136,0.109,WA
173.0,Moreton,0.012,0.397,0.194,0.361,QLD
135.0,New England,0.084,0.077,0.029,0.04,NSW
136.0,Newcastle,0.034,0.14,0.056,0.1,NSW
137.0,North Sydney,0.003,0.387,0.153,0.286,NSW
243.0,O'Connor,0.059,0.176,0.061,0.073,WA
174.0,Oxley,0.03,0.346,0.135,0.278,QLD
138.0,Page,0.055,0.09,0.019,0.037,NSW
139.0,Parkes,0.159,0.055,0.022,0.033,NSW
140.0,Parramatta,0.007,0.535,0.269,0.596,NSW
249.0,Paterson,0.055,0.091,0.022,0.036,NSW
244.0,Pearce,0.022,0.356,0.168,0.129,WA
245.0,Perth,0.011,0.378,0.162,0.253,WA
175.0,Petrie,0.028,0.253,0.105,0.115,QLD
176.0,Rankin,0.028,0.365,0.157,0.29,QLD
144.0,Reid,0.006,0.497,0.222,0.524,NSW
145.0,Richmond,0.033,0.147,0.032,0.047,NSW
250.0,Riverina,0.061,0.07,0.026,0.042,NSW
146.0,Robertson,0.028,0.172,0.04,0.071,NSW
177.0,Ryan,0.009,0.286,0.135,0.163,QLD
232.0,Scullin,0.007,0.399,0.152,0.51,VIC
148.0,Shortland,0.039,0.099,0.019,0.042,NSW
307.0,Solomon,0.085,0.285,0.155,0.234,NT
246.0,Stirling,0.012,0.397,0.167,0.312,WA
190.0,Sturt,0.007,0.315,0.127,0.283,SA
247.0,Swan,0.018,0.411,0.216,0.298,WA
149.0,Sydney,0.012,0.482,0.286,0.368,NSW
248.0,Tangney,0.007,0.394,0.146,0.251,WA
233.0,Wannon,0.016,0.078,0.022,0.031,VIC
151.0,Warringah,0.004,0.328,0.131,0.163,NSW
251.0,Watson,0.005,0.493,0.173,0.658,NSW
152.0,Wentworth,0.004,0.355,0.14,0.182,NSW
153.0,Werriwa,0.017,0.415,0.094,0.541,NSW
150.0,Whitlam,0.034,0.174,0.024,0.103,NSW
178.0,Wide Bay,0.041,0.142,0.03,0.034,QLD
234.0,Wills,0.005,0.343,0.139,0.385,VIC
316.0,Wright,0.029,0.168,0.041,0.054,QLD
