division_id,0-17_percent,18-34_percent,35-49_percent,50-64_percent,65-79_percent,80+_percent,pop_count_est
186,22.400000000000002,22.3,19.5,19.3,12.6,3.8,162107
221,20.7,26.200000000000003,19.1,18.0,11.1,4.9,166419
223,27.200000000000003,24.099999999999998,21.8,15.8,8.6,2.5,162012
222,28.1,28.1,22.1,13.600000000000001,6.5,1.6,193726
168,24.5,22.7,21.3,19.2,10.100000000000001,2.3,175479
169,21.099999999999998,26.400000000000002,21.3,16.400000000000002,10.2,4.6,158758
128,25.2,26.400000000000002,20.4,16.1,9.5,2.4,174495
306,27.0,28.4,21.5,16.6,5.7,0.8,132479
302,24.6,21.9,18.6,18.0,13.5,3.4000000000000004,169165
130,20.5,14.399999999999999,15.8,22.2,20.599999999999998,6.6000000000000005,149409
196,22.0,17.7,17.9,22.400000000000002,16.0,3.9,104176
131,26.5,26.1,19.7,16.7,9.0,1.9,173553
132,23.1,18.5,21.4,18.8,13.100000000000001,5.2,156838
133,23.200000000000003,19.7,19.8,20.3,13.4,3.5999999999999996,145602
187,22.1,23.400000000000002,20.200000000000003,17.9,12.5,3.9,170829
224,22.0,18.7,16.7,20.8,15.8,6.0,155839
170,24.2,18.6,17.7,20.200000000000003,14.899999999999999,4.3,151532
225,19.5,28.7,21.6,16.2,9.700000000000001,4.3,170360
188,22.1,16.7,18.8,21.099999999999998,16.6,4.7,163904
226,26.8,22.1,21.5,17.5,9.8,2.3,153859
315,24.5,25.900000000000002,19.7,17.0,9.700000000000001,3.0,174690
171,21.9,21.8,20.599999999999998,18.2,12.7,4.7,159569
228,9.9,54.400000000000006,17.299999999999997,10.7,5.8999999999999995,1.9,215951
229,21.099999999999998,20.5,19.7,19.6,13.700000000000001,5.3,158381
134,25.8,20.599999999999998,23.1,17.1,10.6,2.9000000000000004,163922
172,17.5,27.1,19.6,17.9,13.3,4.5,177222
242,23.400000000000002,20.9,20.9,21.0,11.0,2.8000000000000003,145796
173,20.8,31.6,20.200000000000003,15.0,9.0,3.3000000000000003,172632
135,23.599999999999998,20.3,17.1,19.5,14.6,4.9,158025
136,20.200000000000003,27.900000000000002,19.3,17.599999999999998,10.6,4.3999999999999995,159907
137,19.900000000000002,26.1,23.400000000000002,16.2,10.4,3.9,173535
243,24.0,19.8,19.2,20.5,12.8,3.5999999999999996,158996
174,26.900000000000002,25.6,21.5,15.8,8.0,2.1,178110
138,21.9,16.7,17.2,22.5,16.2,5.5,162962
139,24.6,20.8,17.299999999999997,19.6,13.200000000000001,4.5,157401
140,22.2,31.5,21.5,14.299999999999999,7.8,2.8000000000000003,199947
249,23.9,21.099999999999998,18.4,18.4,14.000000000000002,4.2,161705
244,27.0,25.4,21.4,15.7,8.5,2.0,194221
245,16.6,31.2,21.2,17.0,10.100000000000001,3.9,158995
175,24.2,21.9,20.5,16.8,12.1,4.5,173680
176,27.500000000000004,26.1,20.4,15.6,8.5,1.7999999999999998,188419
144,17.5,34.2,20.5,15.4,8.7,3.6999999999999997,196085
145,20.4,16.3,18.4,21.8,16.6,6.5,159902
250,23.9,20.8,17.299999999999997,18.9,14.000000000000002,5.1,159291
146,21.4,18.9,18.8,19.8,15.0,6.0,148175
177,21.9,29.599999999999998,20.1,15.4,9.8,3.3000000000000003,163182
232,23.5,27.400000000000002,20.8,16.0,9.4,3.0,170817
148,22.3,19.400000000000002,18.4,19.400000000000002,15.1,5.4,148551
307,23.599999999999998,29.7,22.400000000000002,16.2,6.9,1.0999999999999999,117481
246,20.1,27.1,20.5,16.5,11.4,4.3999999999999995,154409
190,20.200000000000003,22.400000000000002,19.5,18.0,13.700000000000001,6.2,179889
247,18.0,33.4,19.7,15.5,9.5,3.9,170358
149,8.1,50.9,20.9,12.2,6.3,1.7000000000000002,223820
248,21.9,21.3,19.6,19.3,12.7,5.2,140682
233,21.9,18.4,17.8,21.4,15.299999999999999,5.3,153570
151,21.9,22.1,23.7,17.4,10.9,4.1000000000000005,158060
251,23.400000000000002,28.000000000000004,19.7,16.1,9.1,3.6999999999999997,185967
152,17.7,28.999999999999996,22.8,15.4,10.7,4.3,158854
153,27.3,24.9,20.8,16.900000000000002,7.9,2.1999999999999997,181173
150,23.400000000000002,20.0,18.4,18.8,14.399999999999999,4.9,158340
178,21.3,15.1,17.599999999999998,22.7,18.3,4.9,147406
234,18.3,32.9,21.8,13.8,8.3,4.8,168833
316,25.6,20.200000000000003,20.599999999999998,19.2,11.700000000000001,2.7,165418
