electoral_division,state,yes,no,response_clear,response_unclear,nonresponding
Hasluck,Western Australia,47880,28836,76716,230,19570
Moore,Western Australia,56690,26690,83380,195,16916
O'Connor,Western Australia,43554,33987,77541,234,24925
Pearce,Western Australia,54305,30699,85004,209,26401
Perth,Western Australia,57510,22967,80477,177,19479
Stirling,Western Australia,47225,30060,77285,190,21345
Swan,Western Australia,49093,26830,75923,185,21857
Tangney,Western Australia,48338,30090,78428,174,14926
Bass,Tasmania,36249,22510,58759,145,15487
Braddon,Tasmania,30054,25573,55627,154,17632
Denison,Tasmania,45005,15992,60997,167,13092
Franklin,Tasmania,44746,20322,65068,163,13605
Lyons,Tasmania,35894,25258,61152,176,17204
Lingiari,Northern Territory,19026,15898,34924,106,34854
Solomon,Northern Territory,29660,15792,45452,123,22642
Canberra,Australian Capital Territory,89590,31361,120951,281,24399
Fenner,Australian Capital Territory,85869,30159,116028,253,26196
