2016 Federal Election House of Representatives Votes By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:39 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
223,La Trobe,VIC,105731,74795,5325,348,3939,13644,98051,92.74
222,Lalor,VIC,123609,93196,4065,520,3867,10192,111840,90.48
168,Leichhardt,QLD,109077,82637,2312,296,2996,7579,95820,87.85
169,Lilley,QLD,106969,78454,4669,260,2741,12926,99050,92.6
128,Lindsay,NSW,109724,88500,3988,539,2303,5859,101189,92.22
306,Lingiari,NT,63131,42399,748,229,1640,1509,46525,73.7
302,Longman,QLD,105026,78578,3376,225,3341,10765,96285,91.68
130,Lyne,NSW,111790,91360,4161,334,2898,5698,104451,93.44
196,Lyons,TAS,76639,57741,4060,223,3523,6142,71689,93.54
131,Macarthur,NSW,104857,84647,4700,516,1808,4620,96291,91.83
132,Mackellar,NSW,108268,84146,4708,356,2839,7186,99235,91.66
133,Macquarie,NSW,104774,85311,3873,330,2310,6017,97841,93.38
187,Makin,SA,107086,83807,5833,463,2003,6330,98436,91.92
224,Mallee,VIC,99324,80794,2246,198,3730,4767,91735,92.36
170,Maranoa,QLD,102780,72747,4045,203,3217,15106,95318,92.74
225,Maribyrnong,VIC,110286,76709,5095,585,5229,10784,98402,89.22
188,Mayo,SA,103981,82438,4364,367,3085,7690,97944,94.19
226,McEwen,VIC,130612,96379,5937,522,5398,12153,120389,92.17
315,McMahon,NSW,106159,81388,5987,626,2625,4853,95479,89.94
227,McMillan,VIC,116200,88215,3995,346,4542,9938,107036,92.11
171,McPherson,QLD,103761,76740,3205,307,3102,9523,92877,89.51
228,Melbourne,VIC,111741,71159,8118,723,6901,10082,96983,86.79
230,Melbourne Ports,VIC,102283,62356,6882,418,4885,14024,88565,86.59
229,Menzies,VIC,99205,71193,4239,247,3439,12754,91872,92.61
134,Mitchell,NSW,102410,80278,4771,300,2520,7637,95506,93.26
172,Moncrieff,QLD,102982,73339,4020,385,3158,9069,89971,87.37
242,Moore,WA,99887,74932,5357,300,3436,6411,90436,90.54
173,Moreton,QLD,97782,68072,4947,308,3296,11966,88589,90.6
231,Murray,VIC,104359,82135,2806,267,4217,7121,96546,92.51
135,New England,NSW,109461,90553,2729,238,2639,6041,102200,93.37
136,Newcastle,NSW,113334,90757,4303,383,2512,6219,104174,91.92
137,North Sydney,NSW,107040,78509,4427,372,3612,10180,97100,90.71
243,O'Connor,WA,101778,75938,5349,253,2976,5857,90373,88.79
174,Oxley,QLD,94997,71148,3979,455,2941,8322,86845,91.42
138,Page,NSW,117263,97844,2614,268,2931,5136,108793,92.78
139,Parkes,NSW,107363,86471,3265,291,2877,5813,98717,91.95
140,Parramatta,NSW,101538,74100,6212,600,3342,6135,90389,89.02
249,Paterson,NSW,112541,92318,3787,417,2531,6158,105211,93.49
