division_id,ages_18-34,ages_35-49,ages_50-64,ages_65-79,ages_80+
315,23459.0,20438.0,21521.0,13770.0,3872.0
227,22686.0,21784.0,25731.0,21483.0,6023.0
171,19200.0,20069.0,20908.0,16545.0,5373.0
228,40693.0,25536.0,17321.0,10053.0,2658.0
230,26242.0,24203.0,19041.0,12349.0,3494.0
229,18688.0,18594.0,21888.0,17146.0,6027.0
134,20597.0,24578.0,21664.0,14831.0,3629.0
172,18735.0,17165.0,19818.0,17644.0,5544.0
242,20250.0,20188.0,24470.0,14182.0,3212.0
173,22464.0,20026.0,18416.0,12402.0,4116.0
231,16794.0,17120.0,23592.0,19783.0,6439.0
135,17343.0,17263.0,23852.0,20215.0,6215.0
136,28457.0,22519.0,23093.0,15054.0,5617.0
137,23200.0,25388.0,21170.0,14956.0,5002.0
243,15132.0,17168.0,23269.0,17103.0,4526.0
174,20980.0,20419.0,18559.0,10868.0,2761.0
138,16342.0,18839.0,28454.0,22845.0,7020.0
139,17569.0,16205.0,22052.0,17148.0,5514.0
140,21644.0,20790.0,18561.0,11283.0,3839.0
249,22180.0,20786.0,23962.0,20305.0,5493.0
244,24022.0,22981.0,20622.0,13218.0,3001.0
245,22998.0,20787.0,19120.0,12421.0,4134.0
175,20017.0,21064.0,21247.0,17512.0,5766.0
189,22813.0,21132.0,23696.0,14351.0,4945.0
176,21207.0,20247.0,19579.0,12491.0,2400.0
144,22092.0,21663.0,20388.0,13223.0,4909.0
145,15834.0,19466.0,26395.0,22338.0,7895.0
250,18960.0,18027.0,23502.0,19477.0,6604.0
146,19211.0,18961.0,23556.0,19831.0,7270.0
177,25824.0,23221.0,21147.0,14261.0,4181.0
232,25215.0,23527.0,23117.0,14457.0,3783.0
148,20716.0,19860.0,23993.0,20494.0,6818.0
307,13272.0,13300.0,11964.0,5817.0,895.0
246,19572.0,19157.0,18416.0,14244.0,5119.0
190,18787.0,19021.0,21010.0,17797.0,7469.0
247,22115.0,18163.0,17901.0,12373.0,4591.0
149,33759.0,27132.0,17671.0,9417.0,2334.0
248,17968.0,17253.0,21430.0,15408.0,5621.0
191,22245.0,19460.0,23496.0,15453.0,5047.0
233,15754.0,16388.0,23405.0,19219.0,6094.0
151,20271.0,24934.0,21427.0,14523.0,5065.0
251,22757.0,21152.0,20366.0,12899.0,4823.0
152,23801.0,24658.0,18528.0,13284.0,4788.0
153,25046.0,22716.0,21801.0,11079.0,2739.0
150,21193.0,20327.0,23943.0,20291.0,6273.0
178,12438.0,16735.0,25629.0,23090.0,5524.0
234,32746.0,27696.0,19405.0,11535.0,5774.0
316,17881.0,21457.0,23840.0,16050.0,3317.0
